Appearance, Accessibility
BrightnessAndLock, Accessibility
Displays1, Accessibility
UniversalAccess1, Accessibility
Displays, Accessibility
Low, Accessibility
Normal, Accessibility
High, Accessibility
AcceptanceDelay, Accessibility
Short, Accessibility
Long, Accessibility
Typing, Accessibility
Speed, Accessibility
Slow, Accessibility
Fast, Accessibility
UniversalAccess, Accessibility
Disabled, Accessibility
Delay, Accessibility
Small, Accessibility
Large, Accessibility
General, Accessibility
PointerSpeed, Accessibility
Acceleration, Accessibility
Sensitivity, Accessibility
Lock, BrightnessAndLock
RequireMyPasswordWhenWakingFromSuspend, BrightnessAndLock
StickyEdges, Displays1
Seeing, UniversalAccess1
Hearing, UniversalAccess1
Typing1, UniversalAccess1
PointingAndClicking, UniversalAccess1
AutoHideTheLauncher, Behavoir
DimSceenToSavePower, Brightness
ScreenReader, Seeing
BeepWhenCapsAndNumLockAreUsed, Seeing
VisualAlerts, Hearing
TypingAssistant, Typing1
TurnOnAccessibilityFeaturesFromTheKeyboard, Typing1
StickyKeys, Typing1
SlowKeys, Typing1
BounceKeys, Typing1
KeyboardSetting, Typing1
MouseKeys, PointingAndClicking
SimulatedSecondaryCLick, PointingAndClicking
HoverClick, PointingAndClicking
MouseSettings, PointingAndClicking
BeepWhenAKeysIs, SlowKeys
BeepWhenAKeyIsRejected, BounceKeys
Shortcuts, KeyboardSetting
AcceptanceDelay3, SimulatedSecondaryCLick
Delay2, HoverClick
MotionThreshold, HoverClick
LayoutSettings, Typing2
Launchers, Shortcuts
Navigation, Shortcuts
Screenshots, Shortcuts
SoundAndMedia, Shortcuts
System, Shortcuts
Typing3, Shortcuts
UniversalAccess2, Shortcuts
Windows, Shortcuts
CustomShortcuts, Shortcuts
General1, Mouse
General2, Touchpad
PointerSpeed2, Touchpad
ShowPositionOfPointerWhenTheControlKeyIsPressed, General1
DisableTouchpadWhileTyping, General2
EnableMouseClicksWithTouchpad, General2
CursorBlinksInTextFields, CursorBlinking
Speed2, CursorBlinking
KeyPressesRepeatWhenKeyIsHeldDown, RepeatKeys
EnableHorizontalScrolling, Scrolling
