Slow4, Slow
High1, High
Disabled4, Disabled
Normal1, Normal
Acceleration1, Acceleration
Long6, Long
High3, High
Disabled7, Disabled
Short4, Short
Disabled10, Disabled
Small2, Small
Long1, Long
Typing1, Typing
Small1, Small
General2, General
Long3, Long
Sensitivity2, Sensitivity
Short5, Short
Slow3, Slow
Short1, Short
UniversalAccess1, UniversalAccess
Disabled2, Disabled
Short2, Short
Low2, Low
High4, High
Low3, Low
Large1, Large
Long4, Long
Low1, Low
Displays2, Displays
Speed1, Speed
Slow2, Slow
Typing3, Typing
Delay1, Delay
Disabled1, Disabled
Delay2, Delay
Fast4, Fast
AcceptanceDelay1, AcceptanceDelay
General1, General
Large2, Large
Disabled11, Disabled
Slow1, Slow
Normal2, Normal
Disabled6, Disabled
AcceptanceDelay2, AcceptanceDelay
AcceptanceDelay3, AcceptanceDelay
Displays1, Displays
Speed2, Speed
Disabled5, Disabled
Short6, Short
UniversalAccess2, UniversalAccess
High2, High
Acceleration2, Acceleration
Typing2, Typing
Disabled9, Disabled
Short3, Short
Low4, Low
Disabled3, Disabled
Disabled8, Disabled
Fast2, Fast
Long5, Long
Sensitivity1, Sensitivity
Fast1, Fast
Long2, Long
Fast3, Fast
