#v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,purchasedProductID,userID
123,,1,,0,0,,,,,4,0
241,,0,,0,0,,,,,4,1
209,,0,,0,0,,,,,18,2
142,,0,,0,0,,,,,10,3
208,,1,,0,1,,,,,0,4
123,,0,,0,0,,,,,8,5
142,,0,,0,1,,,,,1,6
208,,1,,0,0,,,,,0,7
242,,0,,0,0,,,,,18,8
208,,1,,0,0,,,,,18,9
209,,1,,0,1,,,,,0,10
162,,0,,0,1,,,,,14,11
162,,0,,0,0,,,,,11,12
208,,0,,0,0,,,,,9,13
123,,0,,0,0,,,,,1,14
363,,1,,0,0,,,,,18,15
61,,1,,1,1,,,,,2,16
162,,1,,0,0,,,,,9,17
,,0,1,,1,,78,,,0,18
,,0,0,,0,,78,,,1,19
,,0,0,,1,,78,,,15,20
,,0,0,,1,,58,,,3,21
,,0,0,,1,,78,,,18,22
,,1,1,,0,,78,,,3,23
,,0,1,,1,,58,,,1,24
,,1,1,,1,,78,,,18,25
,,0,1,,1,,30,,,3,26
,,1,0,,0,,30,,,7,27
,,1,0,,0,,58,,,17,28
,,0,0,,1,,58,,,1,29
,,0,1,,0,,20,,,5,30
,,0,0,,1,,78,,,6,31
,,0,1,,1,,78,,,0,32
,,0,0,,1,,20,,,0,33
,,1,0,,0,,30,,,8,34
,,0,0,,1,,20,,,0,35
,,0,0,,0,,50,,,17,36
,,1,0,,1,,78,,,16,37
,30,1,,0,0,,,,,3,38
,30,0,,1,1,,,,,16,39
,32,0,,0,0,,,,,16,40
,18,0,,0,0,,,,,0,41
,25,0,,1,0,,,,,15,42
,27,0,,0,0,,,,,6,43
,25,1,,0,0,,,,,18,44
,30,0,,0,0,,,,,9,45
,30,1,,0,0,,,,,7,46
,30,1,,0,0,,,,,16,47
,27,0,,1,1,,,,,14,48
,18,0,,0,0,,,,,14,49
,25,1,,0,0,,,,,15,50
,25,1,,0,0,,,,,6,51
,18,0,,0,0,,,,,14,52
,25,1,,0,0,,,,,16,53
,27,1,,1,1,,,,,18,54
,25,1,,0,1,,,,,8,55
,25,0,,0,1,,,,,10,56
,25,0,,0,0,,,,,10,57
,,1,1,0,,,,,1129,16,58
,,0,0,0,,,,,749,15,59
,,0,1,0,,,,,499,14,60
,,0,0,0,,,,,1129,5,61
,,0,0,0,,,,,749,17,62
,,0,0,0,,,,,499,10,63
,,0,0,0,,,,,749,15,64
,,1,0,1,,,,,749,5,65
